creationTimestamp | Name | Reason | Host | Component | Message
2024-02-16T10:40:25Z | testhttpserver-1-build.17b451bbd72f95a9 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container manage-dockerfile
2024-02-16T10:40:25Z | testhttpserver-1-build.17b451bbd8b8add8 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container manage-dockerfile
2024-02-16T10:40:25Z | testhttpserver-1.17b451bbd09f27aa | BuildStarted | null | build-controller | Build brms-nayan/testhttpserver-1 is now running
2024-02-16T10:40:26Z | testhttpserver-1-build.17b451bc0a858f75 | Pulled | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:58dd98e3a73b47e0600f09a8c6241a9bf4d59806dae28a0fc05917673e1747c0" already present on machine
2024-02-16T10:40:26Z | testhttpserver-1-build.17b451bc10920cb0 | Created | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container docker-build
2024-02-16T10:40:26Z | testhttpserver-1-build.17b451bc11e1a8f1 | Started | worker-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container docker-build
2024-02-16T10:41:30Z | testhttpserver-1-deploy.17b451cad0e26f0d | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-1-deploy to worker-1.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:41:30Z | testhttpserver.17b451cace4122d9 | DeploymentCreated | null | deploymentconfig-controller | Created new replication controller "testhttpserver-1" for version 1
2024-02-16T10:41:32Z | testhttpserver-1-deploy.17b451cb3c0167e3 | AddedInterface | null | multus | Add eth0 [10.129.2.119/23] from ovn-kubernetes
2024-02-16T10:41:32Z | testhttpserver-1-deploy.17b451cb3ec2b0bb | Pulled | worker-1.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Container image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:1d3b612530d3feccf54423875ed0205792552e7e0a7b20f4d10574f6534709a7" already present on machine
2024-02-16T10:41:32Z | testhttpserver-1-deploy.17b451cb4840dcf1 | Created | worker-1.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Created container deployment
2024-02-16T10:41:32Z | testhttpserver-1-deploy.17b451cb4a4f4ef8 | Started | worker-1.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com | kubelet | Started container deployment
2024-02-16T10:41:32Z | testhttpserver-1-rktp4.17b451cb4ffc6c20 | Scheduled | null | null | Successfully assigned brms-nayan/testhttpserver-1-rktp4 to worker-2.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com by master-0.shrocp4upi411ovn.lab.upshift.rdu2.redhat.com
2024-02-16T10:41:32Z | testhttpserver-1.17b451cb4f6e289d | SuccessfulCreate | null | replication-controller | Created pod: testhttpserver-1-rktp4
